"","X","Name","Type","Longitude","Latitude","Address"
"52",52,"Telok Blangah Rd","Taxi Stand",103.821203456897,1.26587789263804,"Telok Blangah Rd, Singapore"
"53",53,"Katong Shop Ctr","Taxi Stand",103.901377015848,1.30384362574116,"Katong Shop Ctr, Singapore"
"54",54,"Farrer Rd","Taxi Stand",103.807305864922,1.3173843614615,"Farrer Rd, Farrer Road, Singapore"
"55",55,"492 Jurong West Street 41","Taxi Stand",103.725202658896,1.35009864026874,"492 Jurong West Street 41, Singapore"
"56",56,"400 Orchard Rd","Taxi Stop",103.829093966641,1.30719206804558,"400 Orchard Rd, Singapore 238875"
"57",57,"Pasir Ris Dr 1","Taxi Stop",103.949567396798,1.37272868417855,"Pasir Ris Dr 1, Pasir Ris, Singapore"
"58",58,"15 N Canal Rd","Taxi Stop",103.848490884395,1.28593524755099,"15 N Canal Rd, Singapore 048827"
"59",59,"168 Anson Rd","Taxi Pick Up / Drop Off",103.847482624812,1.2773738774022,"168 Anson Rd, Capital Tower, Singapore 068912"
"60",60,"6a Shenton Way","Taxi Stop",103.848900805922,1.2774352111078,"6a Shenton Way, Singapore 068807"
"61",61,"4 Shenton Way","Taxi Stop",103.849842876287,1.27905252389978,"4 Shenton Way, Singapore 068807"
"62",62,"49 Robinson Rd","Taxi Stop",103.849394650034,1.27962397773735,"49 Robinson Rd, Singapore 068881"
"63",63,"77 Robinson Rd","Taxi Stop",103.848501793491,1.27813835922775,"77 Robinson Rd, Robinson 77, Singapore 068896"
"64",64,"21 Marina Station Road","Taxi Pick Up / Drop Off",103.855560059163,1.27664231947882,"21 Marina Station Road, Singapore 018990"
"65",65,"24 Peck Seah St","Taxi Stand",103.845087402195,1.27836886481263,"24 Peck Seah St, Singapore 079314"
"66",66,"2 East Coast Ave","Taxi Stand",103.922591200143,1.30820272088081,"2 East Coast Ave, Singapore 459170"
"67",67,"79 Tg Pagar Rd","Taxi Stand",103.843737072622,1.2778773021466,"79 Tg Pagar Rd, Singapore 088500"
"68",68,"Aft Tg Katong Cplx","Taxi Stand",103.895113700144,1.31723437661623,"Aft Tg Katong Cplx, Aft Tg Katong Cplx, Singapore"
"69",69,"60 Duxton Rd","Taxi Stand",103.843165313049,1.27784393236069,"60 Duxton Rd, Singapore 089524"
"70",70,"32 Tras St","Taxi Stand",103.844215379526,1.27875755503055,"32 Tras St, Singapore 078972"
"71",71,"785 Bukit Timah Rd","Taxi Stop",103.796775193086,1.33101885572463,"785 Bukit Timah Rd, Singapore 269761"
"72",72,"28 Shenton Way","Taxi Stop",103.847052001531,1.27466733661775,"28 Shenton Way, Singapore"
"73",73,"10 Anson Rd","Taxi Stand",103.846128972144,1.27570136618978,"10 Anson Rd, International Plaza, Singapore 079903"
"74",74,"62 Anson Rd","Taxi Pick Up / Drop Off",103.844904054244,1.27370385357596,"62 Anson Rd, Singapore 079909"
"75",75,"6 Hoe Chiang Rd","Taxi Stop",103.842683370638,1.27417995494247,"6 Hoe Chiang Rd, Singapore"
"76",76,"The Amara","Taxi Stop",103.843317281311,1.27505224129529,"The Amara, Singapore"
"77",77,"80 Anson Rd","Taxi Stand",103.843801578038,1.27344843070012,"80 Anson Rd, Singapore 079907"
"78",78,"2 Jurong Hill","Taxi Stand",103.707067939514,1.32098062895092,"2 Jurong Hill, Singapore 628925"
"79",79,"355 Jln Bukit Ho Swee","Taxi Stand",103.827846438584,1.28665079659501,"355 Jln Bukit Ho Swee, Singapore 169567"
"80",80,"3 Hospital Dr","Taxi Stand",103.834085654148,1.2781810478134,"3 Hospital Dr, Singapore 169608"
"81",81,"19B Ghim Moh Rd","Taxi Stand",103.787973023681,1.31177998899031,"19B Ghim Moh Rd, Singapore 273019"
"82",82,"Holiday Inn Park View Hotel Singapore #01-03","Taxi Stop",103.840962756383,1.30258027045351,"Holiday Inn Park View Hotel Singapore #01-03, 11 Cavenagh Road (S)229616, Singapore 229616"
"83",83,"1 Orchard Rd","Taxi Stand",103.839766933064,1.30116046171776,"1 Orchard Rd, Singapore"
"84",84,"554 W Camp Rd","Taxi Stop",103.8644514717,1.41900734181557,"554 W Camp Rd, Singapore 797792"
"85",85,"Marina Bay Cruise","Taxi Stand",103.859779575922,1.26712695666684,"Marina Bay Cruise, Singapore"
"86",86,"23 Cecil St","Taxi Stop",103.849821548303,1.28202698119298,"23 Cecil St, Singapore 049707"
"87",87,"Haw Par Villa Stn","Taxi Stand",103.781622185702,1.28326100602203,"Haw Par Villa Stn, Singapore"
"88",88,"75 Telok Ayer St","Taxi Stop",103.848838549163,1.28264978211985,"75 Telok Ayer St, Singapore 048463"
"89",89,"2 Sago Ln","Taxi Stand",103.84435826613,1.28126053660013,"2 Sago Ln, Singapore"
"90",90,"101 Amoy St","Taxi Stand",103.847445944064,1.28140897768645,"101 Amoy St, Singapore 069921"
"91",91,"100 Bukit Timah Rd","Taxi Stand",103.847510223865,1.31055921877178,"100 Bukit Timah Rd, Singapore 229899"
"92",92,"250 South Bridge Rd","Taxi Stand",103.845270402483,1.28239093815293,"250 South Bridge Rd, Singapore 058799"
"93",93,"33 Club St","Taxi Stand",103.846251189422,1.28247899091348,"33 Club St, Singapore 069415"
"94",94,"17B Trengganu St","Taxi Stand",103.844046135486,1.2828723701977,"17B Trengganu St, Singapore 058471"
"95",95,"7 Cross St","Taxi Stand",103.848946287148,1.28184782580041,"7 Cross St, Singapore"
"96",96,"133 Cecil St","Taxi Stop",103.848758088136,1.28022560504974,"133 Cecil St, Singapore 069535"
"97",97,"277C Compassvale Link","Taxi Stand",103.893186157786,1.38265239389368,"277C Compassvale Link, Singapore 543277"
"98",98,"143 Cecil St","Taxi Stop",103.847973162736,1.27893906160452,"143 Cecil St, Singapore 069542"
"99",99,"201 Yishun Ave 2","Taxi Stand",103.833057754204,1.41709038337118,"201 Yishun Ave 2, Singapore 769092"
"100",100,"CQC6+PG Singapore","Taxi Stop",103.76126529155,1.42186288905616,"CQC6+PG Singapore"
"101",101,"109 Mount Faber Rd","Taxi Pick Up / Drop Off",103.819213377553,1.27155034365868,"109 Mount Faber Rd, Singapore 099203"
"102",102,"11 Jln Tan Tock Seng","Taxi Stand",103.846320896982,1.32169606627045,"11 Jln Tan Tock Seng, Singapore 308433"
"103",103,"337 Thomson Rd","Taxi Stop",103.841565863544,1.32512653371468,"337 Thomson Rd, Singapore 307676"
"104",104,"United Sq/Bef Novena Stn","Taxi Stand",103.844052492172,1.31725441313099,"United Sq/Bef Novena Stn, Singapore"
"105",105,"Novena Stn","Taxi Stand",103.843572413726,1.31962930185081,"Novena Stn, Singapore"
"106",106,"18 Raffles Quay","Taxi Stop",103.850592325612,1.28020278919406,"18 Raffles Quay, Singapore 048582"
"107",107,"23 Serangoon Central","Taxi Stand",103.87291049083,1.35089274174802,"23 Serangoon Central, Singapore 556083"
"108",108,"1 Fullerton Road","Taxi Stop",103.853796596419,1.28563192768063,"1 Fullerton Road, #02-01, One Fullerton, 049213, Singapore 049213"
"109",109,"87 Cluny Park Rd","Taxi Stand",103.814425089794,1.32146820183934,"87 Cluny Park Rd, Singapore 259590"
"110",110,"118 Rivervale Dr","Taxi Stand",103.901242888531,1.38529328610538,"118 Rivervale Dr, Singapore 540118"
"111",111,"10408 Marine Parade Central","Taxi Stand",103.905037130146,1.30223233388213,"10408 Marine Parade Central, Singapore"
"112",112,"3 Coleman St","Taxi Stand",103.85034776079,1.29194380548796,"3 Coleman St, Singapore 179804"
"113",113,"1 Coleman St","Taxi Stop",103.851396302338,1.2909808467373,"1 Coleman St, Singapore 179803"
"114",114,"67 Hill St","Taxi Stand",103.849474752729,1.29181937276858,"67 Hill St, Singapore 179370"
"115",115,"109 North Bridge Rd","Taxi Stop",103.850407276271,1.29112544910641,"109 North Bridge Rd, Singapore 179097"
"116",116,"7VV3+Q5 Singapore","Taxi Stop",103.852906624598,1.29447576112553,"7VV3+Q5 Singapore"
"117",117,"Canning Rise","Taxi Stop",103.84818547118,1.2943564692808,"Canning Rise, Fort Canning Park, Singapore"
"118",118,"303 New Bridge Rd","Taxi Stand",103.841696654164,1.28175441923655,"303 New Bridge Rd, Singapore 050336"
"119",119,"331 New Bridge Rd","Taxi Stand",103.840639419465,1.28038085219118,"331 New Bridge Rd, Singapore 088763"
"120",120,"Outram Rd","Taxi Stand",103.839130335374,1.28125493754107,"Outram Rd, Outram Park, Singapore 169037"
"121",121,"118 Neil Rd","Taxi Stand",103.841832426989,1.27886665476442,"118 Neil Rd, Singapore 088854"
"122",122,"100A Eu Tong Sen St","Taxi Stand",103.840902458385,1.28203977006121,"100A Eu Tong Sen St, Singapore 059813"
"123",123,"18 Havelock Rd","Taxi Stop",103.844699362597,1.28739548921418,"18 Havelock Rd, Singapore 059764"
"124",124,"1 Park Rd","Taxi Stand",103.841979319597,1.28402050211742,"1 Park Rd, Singapore 059108"
"125",125,"133 New Bridge Rd","Taxi Stand",103.8448214699,1.28553688867847,"133 New Bridge Rd, Singapore 059413"
"126",126,"Ubin First Stop","Taxi Stop",103.92967066777,1.30549202565111,"Ubin First Stop,Block 1202 East Coast Seafood Centre, #01-02, Singapore 449881"
"127",127,"100 Upper Cross St","Taxi Stand",103.843199238583,1.28540490086899,"100 Upper Cross St, Singapore 058360"
"128",128,"78 Airport Blvd.","Taxi Stop",103.990284706988,1.36114608181849,"78 Airport Blvd., Singapore 819666"
"129",129,"95 Airport Blvd.","Taxi Stop",103.98854137959,1.35582439288734,"95 Airport Blvd., Singapore 819648"
"130",130,"Opp Blk 109","Taxi Stand",103.8249061373,1.27413178439467,"Opp Blk 109, Singapore"
"131",131,"1 Woodlands Square","Taxi Stand",103.785077185427,1.43635042738938,"1 Woodlands Square, Singapore 738099"
"132",132,"10 Jurong East Street 12","Taxi Stand",103.742979275336,1.33229479311938,"10 Jurong East Street 12, Jurong East, Singapore 609690"
"133",133,"810 Geylang Rd","Taxi Stand",103.894052751979,1.31475239019875,"810 Geylang Rd, Singapore 409286"
"134",134,"55 Sims Ave E","Taxi Stand",103.912428393472,1.32075659589267,"55 Sims Ave E, Singapore 416551"
"135",135,"8Q6W+25 Singapore","Taxi Stand",103.795443671375,1.31005495010633,"8Q6W+25 Singapore"
"136",136,"372 Bukit Batok West Ave 5","Taxi Stand",103.751503199303,1.35881140906524,"372 Bukit Batok West Ave 5, Singapore"
