"","STN_NAME","STN_NO","LONGITUDE","LATITUDE"
"95","One-North MRT Station","CC23",103.787457507831,1.29975987859199
"96","Stadium MRT Station","CC6",103.875350335179,1.30284062963322
"97","Bugis MRT Station","EW12/DT14",103.855706414017,1.30046507631525
"98","Somerset MRT Station","NS23",103.839075162344,1.30026005506544
"99","Orchard MRT Station","NS22/TE14",103.832241452067,1.30398101243688
"100","Jalan Besar MRT Station","DT22",103.855477016339,1.30540364222325
"101","Bayfront MRT Station","DT16/CE1",103.859079765132,1.28187378849154
"102","Sengkang MRT Station","NE16",103.89548469416,1.39169462609899
"103","Bukit Brown MRT Station","CC18",103.830689550137,1.33372888232144
"104","Mountbatten MRT Station","CC7",103.88252808081,1.30620190483124
"105","Kovan MRT Station","NE13",103.885064856336,1.36017917117915
"106","Fort Canning MRT Station","DT20",103.844328269609,1.29247892791748
"107","Farrer Road MRT Station","CC20",103.807586105746,1.31751061189577
"108","Downtown MRT Station","DT17",103.852840444039,1.27944619037872
"109","Esplanade MRT Station","CC3",103.855504105527,1.29332160761124
"110","Nicoll Highway MRT Station","CC5",103.863637018496,1.29976683526798
"111","Caldecott MRT Station","CC17/TE9",103.839529820764,1.33767450804434
"112","Marina Bay MRT Station","NS27/TE20/CE2",103.854597777543,1.2764273547506
"113","Labrador Park MRT Station","CC27",103.80293962042,1.27233273159647
"114","Chinatown MRT Station","NE4/DT19",103.843426775944,1.28435957823298
"115","Tan Kah Kee MRT Station","DT8",103.807322207612,1.32588320892244
"116","Tiong Bahru MRT Station","EW17",103.827019430924,1.28619339285898
"117","Hillview MRT Station","DT3",103.767418254457,1.36234486852786
"118","King Albert Park MRT Station","DT6",103.783806658873,1.33566512075977
"119","Mattar MRT Station","DT25",103.88324750918,1.32687671471261
"120","Ubi MRT Station","DT27",103.899252524977,1.32995682570384
"121","Beauty World MRT Station","DT5",103.775794285295,1.34122317571135
"122","Kaki Bukit MRT Station","DT28",103.908459734464,1.33496730156429
"123","Bedok North MRT Station","DT29",103.917978329773,1.3347421167584
"124","Dhoby Ghaut MRT Station","NS24/NE6/CC1",103.846115154676,1.29870130662953
"125","Woodleigh MRT Station","NE11",103.870818309375,1.33919004552515
"126","Novena MRT Station","NS20",103.843825618815,1.3204407908479
"127","Serangoon MRT Station","NE12/CC13",103.873574846858,1.34970787537926
"128","Bedok Reservoir MRT Station","DT30",103.932234623625,1.33660782981049
"129","Marina South Pier MRT Station","NS28",103.862859769637,1.27133671132917
"130","Farrer Park MRT Station","NE8",103.854177141531,1.31235984021214
"131","Bartley MRT Station","CC12",103.879758906228,1.34282833773758
"132","Dakota MRT Station","CC8",103.888662603932,1.308382639267
"133","Pasir Panjang MRT Station","CC26",103.791350313154,1.27621352268534
"134","Clarke Quay MRT Station","NE5",103.846555209295,1.28838602420114
"135","Bishan MRT Station","NS17/CC15",103.848143964475,1.35083898769384
"136","Marymount MRT Station","CC16",103.83942313257,1.34870726301823
"137","Haw Par Villa MRT Station","CC25",103.78181045132,1.2825421566429
"138","Lorong Chuan MRT Station","CC14",103.864151938047,1.35161217102563
"139","Lavender MRT Station","EW11",103.862829208107,1.30735702009556
"140","Tai Seng MRT Station","CC11",103.888194861153,1.33543332222291
"141","Rochor MRT Station","DT13",103.852421680705,1.30391648396459
"142","Little India MRT Station","NE7/DT12",103.849646966572,1.30680002531233
