"","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","AWARDED_DATE","LANDYADDRESSPOINT","PHOTOURL","DESCRIPTION","NAME","ADDRESSTYPE","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D"
"71","1",1.32035600765426,"1971","Existing","1081.18",103.955474150677,"","","33624.11","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg","HUP Rebuilding","Bedok Food Centre","I","","6/2/2005","41594.72","Bedok Road","469572","","1, Bedok Road, Singapore 469572","5074BAFF0FF40404","20210330151704"
"72","216",1.32706240888967,"21/8/1979","Existing","",103.933221544751,"","","34365.56","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg","HUP Standard Upgrading","Bedok North Street 1 Blk 216","I","","15/12/2008","39118.19","Bedok North Street 1","460216","","Blk 216, Bedok North Street 1, Singapore 460216","B8E4DB8C5DC40E07","20210330151704"
"73","511",1.33324627868937,"16/3/1979","Existing","",103.930602144469,"","","35049.33","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg","HUP Standard Upgrading","Kaki Bukit 511 Market and Food Centre","I","","1/7/2004","38826.65","Bedok North Street 3","460511","","Blk 511, Bedok North Street 3, Singapore 460511","29D02D34F4826475","20210330151704"
"74","538",1.33178125123252,"30/4/1979","Existing","",103.924844235398,"","","34887.31","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg","HUP Standard Upgrading","Bedok North Street 3 Blk 538","I","","3/12/2010","38185.86","Bedok North Street 3","460538","","Blk 538, Bedok North Street 3, Singapore 460538","F1A5DD5A88C6320D","20210330151704"
"75","79",1.2878581025663,"1/1/1969","Existing","",103.818402623449,"","","30030.33","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg","HUP Reconfiguration","Redhill Market","I","","28/6/2005","26339.98","Redhill Lane","150079","","Blk 79, Redhill Lane, Singapore 150079","ECAC58C7830DA23E","20210330151704"
"76","51",1.33937596351523,"1975","Existing","3310.64",103.775995008012,"","","35726.98","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg","HUP Standard Upgrading","Bukit Timah Market","I","","2/1/2003","21620.5","Upper Bukit Timah Road","588215","","51, Upper Bukit Timah Road, Singapore 588215","FD4DDC8C44684285","20210330151704"
"77","41A",1.31615991374589,"18/12/1981","Existing","",103.850225081031,"","","33159.8","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg","HUP Reconfiguration","Pek Kio Market and Food Centre","I","","7/3/2003","29881.53","Cambridge Road","211041","","Blk 41A, Cambridge Road, Singapore 211041","FBD170F330300185","20210330151704"
"78","2&3",1.38915172065006,"12/11/1975","Existing","",103.988245749103,"","","41231.42","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg","HUP Standard Upgrading","Changi Village Blk 2 and 3","I","","28/12/2012","45241.4","Changi Village Road","500002","","Blk 2/3, Changi Village Road, Singapore 500002/500003","DC5973E8261726EB","20210330151704"
"79","20",1.36422852315868,"1972","Existing","613.55",103.866536130299,"","","38475","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg","HUP Standard Upgrading","Chomp Chomp Food Centre","I","","31/3/2004","31696.72","Kensington Park Road","557269","","20, Kensington Park Road, Singapore 557269","FD83AAB03A20C9C8","20210330151704"
"80","51",1.37542896666561,"2/7/2015","Existing (new)","2047.29",103.882977999397,"hawker centre/community club/family medicine clinic/senior care centre","","39713.520000000004","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg","New Centre","Ci Yuan Hawker Centre","","","","33526.48","Hougang Avenue 9","538776","","51 Hougang Avenue 9, Singapore 538776","2AA90E9CB7222D3A","20210330151704"
