"","BUS_STOP_N","BUS_ROOF_N","LOC_DESC","LONGITUDE","LATITUDE"
"87","65059","B12","ST ANNE'S CH",103.901302007651,1.39302747106464
"88","16171","B06","YUSOF ISHAK HSE",103.774373264814,1.29892057046724
"89","67469","B01A","BEF SENGKANG EAST AVE",103.890756270813,1.38538702343608
"90","61101","NIL","BLK 120",103.863699314086,1.33563695030293
"91","01239","B01","SULTAN PLAZA",103.861645647564,1.30285013617619
"92","17269","B01","BLK 730",103.762640701899,1.30492292460802
"93","47599","NIL","BLK 683A",103.802724678443,1.43970524944259
"94","11291","B17","COLD STORAGE JELITA",103.785907158141,1.31787824422438
"95","11531","B12","OPP LEA HIN HARDWARE FTY",103.807369680088,1.29091794913851
"96","46529","B05","OPP MARSILING STN",103.774600053167,1.43204737945475
"97","95151","B01","AIRPORT POLICE STN",103.981847980772,1.34218833343735
"98","71169","B01","AZTECH BLDG",103.892093413073,1.3270232839167
"99","27471","B02","CORPORATION PR SCH",103.707776671755,1.35222520222092
"100","43831","B02A","BLK 334",103.747806434563,1.36513089647521
"101","96061","B13","OPP MERA TERR P/G",103.962914523282,1.34691084460774
"102","09011","B01","OPP NGEE ANN CITY",103.834256216241,1.30213741789128
"103","77259","B20","OPP BLK 713",103.938596533735,1.38268713334254
"104","46189","B03","BLK 12",103.778421960969,1.439993688345
"105","11541","B01","OPP QUEENS",103.805725633052,1.29237991130604
"106","67479","B01","LAYAR STN EXIT A / BLK 417A",103.880041402094,1.39197930854831
"107","85101","B01","AFT BEDOK RD",103.950738432748,1.32935985176938
"108","64129","B20","BLK 988B",103.876869279803,1.37987709428012
"109","10419","B02","BLK 52",103.812505112169,1.28836233297448
"110","78231","B01","OPP BLK 482",103.959794484308,1.37345824466153
"111","63389","B14","OPP XINMIN PR SCH",103.882369495409,1.37066920251274
"112","90021","B06","PEBBLE BAY",103.872279418203,1.29720223191477
"113","22069","B06","OPP CEVA LOGISTICS",103.703714656436,1.31365922855247
"114","32071","B23","AFT TRACK 13",103.700584620488,1.41605744943487
"115","44331","B01","BLK 239",103.770823663748,1.38020875904597
"116","96081","B05","GRACE INDEPENDENT CH",103.955556210611,1.33653504023449
"117","11561","B05","BLK 166",103.802487251757,1.29112738107154
"118","76141","B09","TAMPINES STN/INT",103.946124669435,1.35376601853643
"119","66191","B03","AFT CORFE PL",103.859840503128,1.36065284459789
"120","23389","B02A","PEC LTD",103.693836246964,1.30758085861962
"121","54411","B02","BLK 527",103.854250391642,1.37235817860932
"122","28531","B09","BLK 536",103.716445306286,1.35003295387721
"123","96139","B01","BLK 148",103.955907530969,1.34649013098468
"124","23151","B16","CONTAINERS PRINTERS",103.684925088318,1.32789578194831
"125","42089","B02","OPP BT TIMAH PLAZA",103.779438246202,1.34000038344715
"126","25099","B02","OPTO-PHARM",103.644881471362,1.33392082951905
"127","46261","B09","BLK 808",103.786876774775,1.44253502162843
"128","10339","B05","AFT BT MERAH CTRL",103.818521320035,1.28110386680072
"129","50011","B03","OPP PARISH OF CHRIST CH",103.847180541668,1.31181143525639
"130","43659","B01","ST ANTHONY'S PR SCH",103.749226146277,1.36379437586825
"131","62099","B07","GAMBIR RIDGE",103.875702379543,1.34416629850898
"132","46709","B03","AFT BLK 1",103.775495392092,1.44147080204051
"133","46831","B03","BLK 747A CP",103.795645041729,1.44362506668146
"134","84409","B05","BLK 550",103.926650455675,1.33291184979661
"135","84029","B04","OPP BLK 32",103.925096130519,1.32294428249918
"136","67319","B04","FARMWAY STN EXIT A",103.888954482016,1.39736371416239
"137","04149","B01","GRAND PARK CITY HALL",103.849832034258,1.29270542051579
"138","52429","B01","BLK 17A",103.857095450463,1.33636658785802
"139","17049","B08","BLK 601",103.76462511715,1.30467500331043
"140","67311","B03","FARMWAY STN EXIT B",103.889758295951,1.39696814006453
"141","44499","B04","BLK 429A CP",103.740938859619,1.383287536395
"142","48011","B22","OPP MANDAI CAMP 2",103.774556299891,1.41056564809774
"143","28221","B07","OPP INTL BUSINESS PK",103.744839252946,1.3276998566508
"144","62251","B03","Bef Blk 471B",103.900716383469,1.37750756735252
"145","11131","B11","QUEENS CONDO",103.807057934856,1.29294159265846
"146","67321","B01A","BLK 311A",103.884333288363,1.39052399471739
"147","11471","B12","OPP THE FISHERMAN CH",103.80319752746,1.29956882846909
"148","13041","B04","AFT ROCHALIE DR",103.819720234557,1.30250544576186
"149","23029","B21","STAMFORD TYRE",103.686526750131,1.32304169446569
"150","28141","B07","AFT TRACK 22",103.728542093729,1.35402416834413
"151","59789","B10A","BEF YISHUN AVE 6",103.851396970394,1.4229834296552
"152","80199","B02","STADIUM STN",103.875440743317,1.30158196492199
"153","59441","B01","NAVAL BASE PR SCH",103.839473495104,1.41589252783511
"154","40031","B07","NEWTON FC",103.840219516874,1.31208545691735
"155","46791","B03","BLK 722",103.799609373061,1.44570134001273
"156","53211","B02","OPP RAFFLES INSTN",103.847104963626,1.34697261801388
"157","59179","B01","BLK 241",103.839913563009,1.43224687378029
"158","03419","B02","MARINA STH PIER STN",103.862930634475,1.27122526272156
"159","55159","B06","OPP ANG MO KIO CMTY HOSP",103.840597703654,1.3833413696082
"160","01429","B12","GOLDEN MILE CPLX",103.864977875562,1.30315561147307
"161","46299","B08","OPP BLK 106",103.782744206187,1.43690152046306
"162","43591","B05","OPP BT VIEW SEC SCH",103.752056465684,1.34479693198784
"163","56039","B24","AFT YIO CHU KANG RD",103.828515400834,1.37675081811271
"164","59161","B06","OPP BLK 201",103.837802823316,1.43016407927411
"165","83029","B06","AFT KG EUNOS",103.906349578198,1.31777109721841
"166","42229","B05","AFT TOH TUCK TERR",103.768248871218,1.33943763548258
"167","51099","B03","CATHOLIC JC",103.834462736072,1.32586784354824
"168","80101","B01","KALLANG STN / OPP BLK 2C",103.871525595764,1.31257856261764
"169","80149","B05","S.A. DEAF",103.87973541988,1.30754179323408
"170","17079","B12","BLK 512",103.76002069151,1.30967008369149
"171","52269","B04","BLK 73",103.851476439634,1.33395057840172
"172","21611","B11","BLK 367",103.719235778935,1.33832489152634
"173","84369","B03","BLK 45",103.924664710337,1.32916212707469
"174","80051","B03","AFT LOR 1 GEYLANG",103.873196336384,1.31249733446063
"175","77251","B19","BLK 713",103.938558975889,1.38229537507294
"176","11349","B05","OPP GARLICK VILLE",103.793051727684,1.32563013197848
"177","21211","B09","OPP LAKEPOINT CONDO",103.716021534397,1.3401479520763
"178","28571","B02","BLK 416",103.725528116638,1.35235797301533
"179","19029","B06","OPP SP SMA",103.78210012855,1.3095003556581
"180","28439","B124","BLK 124",103.738561540841,1.33453806979408
"181","47819","B11","OPP W'LANDS SUNNY FOOD",103.810028430318,1.4625469991625
"182","45181","B30","OPP MANDAI CD TRG VILLAGE",103.76136959901,1.41159980453109
"183","25119","B12","BEF TUAS AVE 10",103.649809975335,1.33223677798916
"184","46451","B08","OPP BLK 872",103.789267477989,1.44460542506989
"185","53391","B01","OPP BLK 203",103.846918939293,1.35448990487463
"186","78071","B02","BLK 446",103.957174918751,1.37026334446221
"187","44369","NIL","AFT DAIRY FARM RD",103.775310165368,1.36581477505295
"188","22281","B01","AFT SOON LEE RD",103.703750279901,1.32858857935967
"189","75169","B04","OPP BLK 853",103.934457839681,1.35332335240825
"190","70349","B01","BEF LOR BAKAR BATU",103.87486420043,1.3262317142966
"191","56041","B25","OPP MEADOWS /@ PEIRCE",103.827588356456,1.37906039493692
"192","62121","B11","AFT WOLSKEL RD",103.871618980558,1.34689488309165
"193","40261","B03","LP 52",103.827091077667,1.34129624177808
"194","91121","NIL","HSE 189",103.896488384256,1.29894816012091
"195","44091","B06","BEF CHOA CHU KANG MKT",103.74403600061,1.37644640203394
"196","94029","B10","AFT SENNET RD",103.937447206589,1.31447860499917
"197","78279","NIL","OPP LOYANG TOWNHOUSE",103.964373093357,1.37928955361689
"198","92041","B01","OPP PARKWAY PARADE",103.905036957812,1.30273470025445
"199","02151","B04","SUNTEC CONVENTION CTR",103.857869315001,1.29323952995999
"200","43309","B01","HILLBROOKS",103.761951000471,1.35867116490783
"201","60059","B01","BEF KALLANG PL",103.865914532618,1.31430714017261
"202","25221","B41","RAFFLES COUNTRY CLUB",103.651620493692,1.33465162196796
"203","64221","B09","OPP DEFU AVE 2",103.900932160309,1.3626619990943
"204","46191","B02","OPP BLK 120",103.780564732364,1.43976962493019
"205","71111","B03","BLK 343",103.900517440382,1.32671458141282
"206","71149","B05","BLK 3024",103.897065895378,1.32886582800045
"207","98149","B06","WACKER CHEMICALS",103.974201760611,1.37581399735197
"208","80279","B05","MOUNTBATTEN STN EXIT B",103.883420448333,1.30520000147504
"209","31171","B30","OPP JLN BERSERI",103.704235641135,1.37239499439862
"210","51071","B21","MACRITCHIE RESERVOIR",103.836015286631,1.34226084713092
"211","76449","B03","BLK 343",103.96106860761,1.35209164195442
"212","44671","B03","BET BLKS 502/503",103.766048928832,1.38376074827354
"213","98079","B14","OPP LOYANG WAY 4 / SOXAL",103.978708267329,1.37852056367137
"214","98039","B06","BEF NEW LOYANG LK",103.968378371977,1.36725139601704
"215","53189","B04","BLK 25",103.836874529832,1.35497420062478
"216","27431","B08","BLK 762",103.697320723977,1.34940032955684
"217","44441","B04","BLK 239",103.747587238923,1.37923515341061
"218","66451","B06","AFT ANG MO KIO IND PK 2",103.868590382794,1.37871967507037
"219","71071","B06","OPP COMFORT DRIVING CTR",103.897906719733,1.33632765100404
"220","68059","B12","AFT TPE",103.872450423093,1.3997761683768
"221","21431","B01","BLK 210",103.712462782874,1.34755716620113
"222","52061","B08","BCA ACAD",103.858785678955,1.34355354942561
"223","27419","B04","BLK 827",103.69287714738,1.34572405485795
"224","01631","B01","AFT BEACH RD",103.855793988398,1.29694694111478
"225","64371","B01","OPP PUNGGOL CC",103.892912843598,1.37440863368372
"226","29089","B07","SWANSON PLASTICS",103.752785033118,1.30146185917338
"227","11221","B07","LIEN TWRS",103.805355171643,1.3100469453936
"228","13091","B08","AFT KIM YAM RD",103.839389188239,1.2959625850947
"229","75291","B05","AFT TAMPINES AVE 9",103.930777194546,1.3614185066524
"230","27449","B09","AFT WESTWOOD AVE",103.701150022807,1.3505401267322
"231","66211","B03","OPP BLOXHOME DR",103.861047488328,1.36416052067511
"232","21531","B02","CLARIANT S'PORE",103.71632628678,1.33189903989247
"233","77221","B01","BLK 651",103.938212198798,1.37946470946573
"234","64449","B03","OPP HOUGANG G. SHOP MALL",103.888651076028,1.37972589321955
"235","54321","B03","BLK 354",103.852409561639,1.36390574020624
"236","66511","B02","YIO CHU KANG AMENITY CTR",103.871651675446,1.37574030508904
"237","57149","B01","AFT UPP THOMSON RD",103.816858041889,1.40240336631806
"238","26379","NIL","YONG NAM",103.621921521403,1.29373882555855
"239","41159","B08","AFT LORNIE WALK",103.819458024644,1.33765951737354
"240","42191","B09","BEF BT BATOK EAST AVE 6",103.766927784608,1.34641892807374
"241","46689","B06","BLK 609",103.796003400615,1.4359146589097
"242","66499","B04","BLK 911",103.883221463304,1.37911654511149
"243","84021","B03","BLK 32",103.925153726836,1.32338518018357
"244","94009","NIL","UPP EAST COAST TER",103.952621244573,1.31776970955974
"245","52389","B06","BLK 227",103.858020256635,1.33973269909989
"246","43121","B04","AFT CASHEW TERR",103.766725883654,1.37120786591194
"247","21369","B03","OPP BLK 695",103.708053453617,1.34306110381971
"248","16041","B23","OPP LUXE VILLE",103.776918596374,1.28918649544284
"249","76179","B03","OPP BLK 266",103.950630713015,1.3517130988029
"250","42299","B02","AFT TOH TUCK CRES",103.76446952904,1.33729369721493
"251","18069","B04","OPP BLK 71",103.787468808723,1.29642590825579
"252","24461","B01","BEF NAM LEONG CO PTE LTD",103.666207825854,1.29722049951009
"253","41109","B04","OPP ST. MARGARET'S SEC SCH",103.810505250497,1.31938047763033
"254","71021","B05","OPP COMFORT TEST CTR",103.894746834056,1.33658657133457
"255","22359","B05","BEF BLK 717",103.697159885868,1.34252066138593
"256","97051","B07","OPP CHANGI WOMEN'S PRISON",103.970406743158,1.36049093037572
"257","63081","B14","OPP BLK 241",103.892578813758,1.35678496037927
"258","64611","B08","BLK 913",103.884461639541,1.37844906460062
"259","27391","B06","BLK 857",103.696246167562,1.34844728485374
"260","59141","B02","BLK 741",103.832644060945,1.43034220705226
"261","80031","B01","KALLANG STN",103.871345085224,1.31112031913446
"262","75501","UNK","BLK 604A",103.934805447239,1.36150035528068
"263","63381","B13","XINMIN PR SCH",103.882451214068,1.37093273614175
"264","47201","UNK",NA,103.784944629082,1.44850303137343
"265","58299","B03","BLK 328",103.81963446096,1.44591206190759
"266","22369","B07","BLK 704",103.695291560627,1.34054976787286
"267","66149","B01","AFT YIO CHU KANG RD",103.87225252063,1.36295550553429
"268","33029","B18","AFT NEO TIEW RD",103.702913989611,1.42077483186372
"269","91051","B13","OPP SANTA FE MANSIONS",103.889505274933,1.30046374314229
"270","50991","B01","BLK 82",103.856328555726,1.32347724128311
"271","15149","B02","OPP LABRADOR PK STN",103.800670238931,1.27330707721392
"272","75509","UNK","OPP BLK 601C",103.934523716162,1.36145131484651
"273","09191","B01","THE REGENT S'PORE",103.825466081079,1.30495483655753
"274","44401","NIL","OPP BLK 183",103.762733261549,1.38054737714702
"275","01119","B06","AFT BUGIS STN EXIT C",103.85508147143,1.29952153094287
"276","84479","B16","BLK 713",103.922521226248,1.33741128244423
"277","64489","B03","BLK 946A",103.880616274503,1.37489684468743
"278","43531","B04","BLK 140",103.743718008269,1.35153408814879
"279","01112","B07","OPP BUGIS STN EXIT C",103.855193257484,1.30012230180884
"280","59781","B09A","AFT YISHUN AVE 6",103.851291616877,1.42329956152477
"281","44501","B05","BLK 426",103.738771232677,1.38083317760221
"282","66251","B01","OPP KINGSWEAR AVE",103.866539612162,1.36716747606451
"283","21331","B10","OPP PREMIER MILK PTE LTD",103.70797250364,1.33038783399731
"284","20061","B02","AFT JURONG TOWN HALL RD",103.742913905803,1.32388383826662
"285","93059","B12","AFT JLN BUROH PERINDU",103.919288602679,1.31073407302701
"286","67521","B05","BLK 160",103.908432654429,1.38718801962984
"287","76119","B05","OPP BLK 945",103.940159313981,1.35186666087369
"288","70011","B07","OPP BLK 125",103.88115689497,1.32326532663529
"289","52439","B03","OPP BLK 5",103.855376621931,1.33824513986996
"290","10119","B14","OPP PACIFIC TECH CTR",103.811284122684,1.28596632464929
"291","28351","B17","OPP BLK 350",103.731006583793,1.34362509465675
"292","53229","B04","BLK 501",103.849318758732,1.34822283392525
"293","91101","B03","TG KATONG FLYOVER",103.89674636355,1.29606455556822
"294","49209","B01","SG BULOH WETLAND RESERVE",103.72982056969,1.4451338923024
"295","67331","B05","BLK 200B",103.892561642129,1.38678396376164
"296","25411","B01","BEF TUAS TER",103.638293237553,1.34381795066308
"297","80251","B01","AFT LOR 14 GEYLANG",103.879908536084,1.31012529634757
"298","80141","B04","OPP S.A. DEAF",103.880047827526,1.30699577823971
"299","53409","B03","BLK 131",103.851313367014,1.34531951899299
"300","58121","B07","BLK 424A CP",103.819240693575,1.45335979790386
"301","53091","B15","BEF ANG MO KIO AVE 1",103.82795334743,1.36491729896722
"302","47121","B03","OPP LIAN AIK SIONG MACHINERY",103.802823037083,1.46363688903059
"303","77249","B18","BLK 640",103.939913057907,1.3759553152727
"304","77369","B05","OPP BLK 555",103.95168197567,1.36837406903436
"305","97119","B42","AFT TOH CL",103.969909339265,1.3634276122462
"306","50211","NIL","OPP BALESTIER PT",103.852627233125,1.32301807195893
"307","15159","B04","MAPLETREE BUSINESS CITY",103.79849348204,1.27420995414935
"308","43439","B05","BLK 242",103.756169456259,1.35119240846023
"309","63269","B06","BLK 232",103.889025690215,1.35884601654207
"310","54571","B11","BLK 532",103.854865451256,1.37429064569193
"311","57111","B15","OPP BLK 101",103.826522056391,1.43129013575075
"312","21379","B01","BLK 263",103.706559977313,1.34521467547834
"313","78069","B06","BLK 442",103.958189952002,1.36869220915688
"314","26131","B05","AFT TUAS CRES",103.64969057223,1.31897857727361
"315","81169","B03","OPP BLK 56",103.883190107656,1.31079800453239
"316","41129","B06","OPP S'PORE BIBLE COLLEGE",103.813969239243,1.3253641513704
"317","24379","B03","OPP ASIA IND GASES",103.665902539539,1.30358997275031
"318","66389","B02","S'GOON STN EXIT F",103.870889220221,1.35107328791505
"319","21521","B01","PB PACKAGING SYSTEMS",103.714598272569,1.33410229427071
"320","46979","B12","OPP BLK 507",103.790622819275,1.43130362501914
"321","24501","B61","BEF TUAS FLYOVER",103.664750241851,1.32420171784593
"322","22041","B03","AFT TG KLING RD",103.702094778821,1.31385545886825
"323","46649","B03","BLK 515",103.789878659538,1.43507401783788
"324","43379","B04","BLK 185",103.745177360236,1.34715300734735
"325","84321","B08","BLK 516",103.929852992995,1.33062336998207
"326","17011","B01","OPP VARSITY PK",103.766868123173,1.29392505581922
"327","21241","B01","OPP BLK 213",103.7124028829,1.34978071912281
"328","58031","UNK","OPP CANBERRA DR",103.825330669255,1.44600830635546
"329","27379","B01","BLK 755",103.700960159254,1.3480036376901
"330","53219","B01","RAFFLES INSTN",103.846583176841,1.34614745441281
"331","21399","B05","OPP RIVER VALLEY HIGH SCH",103.708109021348,1.34482617139575
"332","20319","B04","BLK T PANDAN LIGHT IND PK",103.752874582118,1.31252951127896
"333","52479","B01","Opp EASB",103.845954329203,1.32750697911127
"334","44131","B04","BLK 26",103.755416479977,1.37713259584981
"335","12099","B06","OPP SIM HQ",103.776735982711,1.32801488861257
"336","53289","B02","ZION BIBLE PRESBY CH",103.854582911314,1.34716142689852
"337","25391","B10","BEF PIONEER RD",103.637090143326,1.32904788089672
"338","58101","B01","BLK 311",103.822803916674,1.44667088886771
"339","49149","B07","AFT KRANJI LK",103.743192346795,1.43837104506012
"340","28631","B05","OPP BLK 288D",103.744125375612,1.34056732464589
"341","63109","B09","BLK 172",103.889855488408,1.35083935195334
"342","27409","B02","BLK 821",103.694129681639,1.347214245829
"343","10401","B03","SHRIRO HSE",103.811611152988,1.28814778933604
"344","92169","B01","BEF KATONG PO",103.896768888635,1.30378626197991
"345","49169","B03","AFT SG KADUT DR",103.748613490394,1.43561254328515
"346","46349","B02","AFT BLK 353",103.786259167742,1.43190729303277
"347","43611","B06","BLK 290H",103.758277600403,1.34414115857194
"348","28061","B09","J GATEWAY",103.742732572317,1.33567827077594
"349","58039","UNK","BEF CANBERRA DR",103.825581736733,1.4465079239615
